TDB企業コード,企業名,所在地,TDB産業大分類,決算期年,決算期月,従業員数,資産合計,流動資産,当座資産,現金・預金,売掛金,棚卸資産,その他流動資産,固定資産,有形固定資産,負債純資産合計,負債合計,流動負債,支払手形,短期借入金,長期借入金,純資産合計,株主資本,利益剰余金,営業収益,営業費用,売上原価,売上総利益,販売費及び一般管理費,役員報酬,給料手当,役員賞与,賞与,減価償却費,営業利益,営業外費用,経常利益,税引前当期純利益,当期純利益
10038137,株式会社　キムラ,01103_北海道札幌市東区,G_卸・小売業，飲食店,2010,3,144,8945238,4127884,3047206,1741041,1049881,707095,391236,4817354,3283242,8945238,3205663,1597364,451022,,399082,5739575,5645730,4148575,10270261,9898526,8387075,1883186,1511451,57951,646042,,,28924,371735,93380,366070,363145,179674
10038137,株式会社　キムラ,01103_北海道札幌市東区,G_卸・小売業，飲食店,2011,3,137,9116741,4354546,3221984,1859647,1092949,765882,383668,4762194,3246576,9116741,3150047,1753353,486526,,208919,5966694,5869059,4372164,11193144,10669617,9121229,2071915,1548388,70830,652347,,,29591,523527,83754,536207,526047,312628
10038137,株式会社　キムラ,01103_北海道札幌市東区,G_卸・小売業，飲食店,2012,3,135,9121065,4418637,3534502,2181457,1128283,705314,192843,4702428,3469630,9121065,2853769,1613436,467933,100000,120000,6267296,6128260,4632101,11109008,10526979,8973900,2135108,1553079,55440,665187,,,25590,582028,85069,603953,665978,378648
10041203,株式会社　クワザワ,01104_北海道札幌市白石区,G_卸・小売業，飲食店,2010,3,350,21780000,14177000,13182000,796000,4100000,717000,306000,7603000,2279000,21780000,17126000,13466000,7971000,,1925000,4654000,4612000,3886000,56799000,56658000,53271000,3527000,3387000,1584000,,,,113000,139000,144000,174000,-539000,-614000
10041203,株式会社　クワザワ,01104_北海道札幌市白石区,G_卸・小売業，飲食店,2011,3,336,20640000,13262000,12508000,1686000,4658000,595000,208000,7377000,2271000,20640000,15701000,12394000,6912000,,1682000,4938000,4896000,4170000,52496000,52194000,48894000,3601000,3300000,1562000,,,,95000,300000,146000,345000,298000,326000
10041203,株式会社　クワザワ,01104_北海道札幌市白石区,G_卸・小売業，飲食店,2012,3,343,22296000,14642000,13842000,914000,4482000,716000,93000,7654000,2231000,22296000,16979000,13707000,7780000,,1595000,5317000,5254000,4539000,56511000,56071000,52664000,3846000,3407000,1647000,,,,66000,439000,129000,499000,421000,410000
10045721,株式会社　北弘電社,01101_北海道札幌市中央区,E_建設業,2010,3,195,7051683,5413894,5108528,1332348,506024,138710,169151,1637789,1161427,7051683,3109787,2234769,260116,,,3941895,3940743,2425442,11721042,11338634,10343049,1377992,995585,50082,490186,,,36093,382407,750,405371,403551,433639
10045721,株式会社　北弘電社,01101_北海道札幌市中央区,E_建設業,2011,3,205,6632416,5000197,4650401,2149871,298669,134066,218225,1632218,1221205,6632416,2500227,1701807,295461,,,4132188,4125843,2622796,9821713,9468197,8505372,1316340,962825,64827,458160,,,39383,353515,1848,370804,319912,216540
10045721,株式会社　北弘電社,01101_北海道札幌市中央区,E_建設業,2012,3,200,6813200,5221370,4977615,1750358,295278,99453,146798,1591829,1214404,6813200,2581552,1851987,348212,,,4231647,4245992,2743228,9429124,9288498,8414439,1014685,874059,73581,369403,,,48588,140625,889,157613,235092,158376
10073181,株式会社　ゲオディノス,01101_北海道札幌市中央区,L_サービス業,2010,3,225,9964973,549510,367776,219059,148717,87582,96239,9415463,7667170,9964973,7576673,2872734,,,2826086,2388300,2381308,314382,7272626,7098614,6268853,1003772,829761,42178,258072,,,14551,174011,155772,49833,40455,55755
10073181,株式会社　ゲオディノス,01101_北海道札幌市中央区,L_サービス業,2011,3,221,10246168,1095244,878591,767655,110936,101520,115765,9138045,7531449,10246168,7819635,2776492,,,2665823,2426533,2414532,357745,8663734,8363156,1868256,6795478,6494900,,1550668,,,786002,300577,170799,160671,64121,43361
10073181,株式会社　ゲオディノス,01101_北海道札幌市中央区,L_サービス業,2012,3,227,10725583,1244605,932409,795742,136667,96429,216875,9465001,7887330,10725583,8385823,3202642,,100000,2947968,2339760,2310705,253922,8316847,8130565,1717074,6599773,6413491,,1600221,,,763920,186281,190474,23407,-66423,-103822
10089584,株式会社　アークス,01101_北海道札幌市中央区,H_金融・保険業,2010,2,41,51124000,3379000,878000,478000,,,2500000,47744000,842000,51124000,10021000,3433000,,2500000,6500000,41102000,41102000,11947000,2688000,1025000,,2688000,1025000,116000,230000,,,59000,1663000,2030000,1662000,1662000,1521000
10089584,株式会社　アークス,01101_北海道札幌市中央区,H_金融・保険業,2011,2,49,50758000,2967000,646000,245000,,,2320000,47790000,813000,50758000,9518000,9400000,,3000000,,41239000,41239000,12085000,2963000,1015000,,2963000,1015000,117000,263000,,,62000,1948000,2957000,1584000,1584000,1579000
