TDB企業コード,企業名,所在地,TDB産業大分類,決算期年,決算期月,従業員数,資産合計,流動資産,当座資産,現金.預金,売掛金,棚卸資産,その他流動資産,固定資産,有形固定資産,負債純資産合計,負債合計,流動負債,支払手形,短期借入金,長期借入金,純資産合計,株主資本,利益剰余金,営業収益,営業費用,売上原価,売上総利益,販売費及び一般管理費,役員報酬,給料手当,役員賞与,賞与,減価償却費,営業利益,営業外費用,経常利益,税引前当期純利益,当期純利益,ops
582029029,ｅＢＡＳＥ　株式会社,27127_大阪府大阪市北区,L_サービス業,2012,3,71,1279811,924034,753136,488297,255394,4459,168902,355777,10316,1279811,135628,135628,NA,NA,NA,1144182,1142323,837469,937921,766853,176202,761718,590651,101166,254113,NA,NA,1806,171067,578,217718,217718,130020,18.2389756055954
580512262,株式会社　アルトナー,27127_大阪府大阪市北区,L_サービス業,2012,1,558,1359348,1162987,1103785,714096,389689,5682,56317,196361,99838,1359348,626801,347357,NA,NA,212087,732547,732413,328409,3693337,3485392,2592310,1101027,893082,80288,316767,NA,NA,15497,207944,9029,210791,200225,196962,5.63024711798571
250284060,クラスターテクノロジー　株式会社,27227_大阪府東大阪市,F_製造業,2012,3,68,2035814,1425574,1315294,1165813,129844,106595,3681,610240,603999,2035814,145482,135315,NA,NA,2290,1890332,1890332,-744370,1018955,948204,600044,418910,348160,63304,65154,NA,NA,6369,70749,246,81830,81858,78414,6.94329675333725
580149707,アサヒ衛陶　株式会社,27147_大阪府堺市美原区,F_製造業,2012,11,68,2131357,1453205,1054707,452361,373885,283649,116746,678151,525643,2131357,724325,354344,21115,50000,274675,1407031,1402214,-190076,3184613,3035512,1977592,1207021,1057920,NA,281498,NA,41379,30299,149100,22304,165181,162604,202244,4.68188756373223
582350299,株式会社　リニカル,27123_大阪府大阪市淀川区,L_サービス業,2012,3,202,2231925,1781741,1649505,804251,744391,NA,132234,450183,47548,2231925,1072958,595556,NA,NA,77500,1158967,1158967,1161083,3110236,2370590,1756234,1354002,614356,258980,83910,NA,43313,3952,739645,5384,734489,734489,435175,23.7809928249818
581357455,株式会社　アイル,27127_大阪府大阪市北区,L_サービス業,2012,7,338,2314649,1385612,1056720,415847,618422,227242,105196,929037,77713,2314649,1166594,818559,NA,NA,120000,1148054,1153317,658280,4352301,4144736,2522557,1829743,1622179,123035,773169,NA,118292,16785,207564,3219,234336,231806,113836,4.76906463249316
581928358,夢の街創造委員会　株式会社,27128_大阪府大阪市中央区,L_サービス業,2012,8,62,2368320,860494,774605,625806,148799,NA,97011,1507826,10749,2368320,159205,159205,NA,NA,NA,2209115,2260390,721162,1359706,1136929,396591,963114,740338,50222,203841,NA,NA,11528,222776,63,231900,230645,126284,16.3841421484807
580376859,カーディナル　株式会社,27118_大阪府大阪市城東区,F_製造業,2012,3,85,2434825,1148135,1033402,602990,235294,106334,12700,1286690,863999,2434825,541315,288380,135997,10000,102551,1893510,2078147,1697324,1270860,1141347,841018,429841,300329,52356,82132,NA,NA,18010,129512,3683,133175,124873,63781,10.1909023739062
581978181,株式会社　きちり,27128_大阪府大阪市中央区,G_卸・小売業，飲食店,2012,6,177,2741072,709584,500139,424406,75733,36408,175050,2031488,1184545,2741072,1721422,1154102,NA,NA,411583,1019650,1015830,340342,5777161,5333114,1480304,4296857,3852810,55410,501321,NA,NA,266277,444047,13109,503931,490795,257967,7.68624935327231
580583498,株式会社　アスモ,27125_大阪府大阪市住之江区,G_卸・小売業，飲食店,2012,3,454,2759816,1655665,1268573,468499,797955,129670,257890,1104151,947683,2759816,1466616,1443509,NA,626208,NA,1293200,1293200,-3412068,6732805,5995374,5035036,1697768,960338,77175,401099,NA,NA,14427,737429,28531,716021,714889,938936,10.9527768816677
581302260,株式会社　情報企画,27128_大阪府大阪市中央区,L_サービス業,2012,9,113,3044361,2784533,2709926,2448155,261771,33815,40789,259828,78230,3044361,734068,529823,NA,NA,NA,2310292,2310292,1673983,1549452,1311390,788233,761218,523157,116622,119780,NA,NA,3207,238061,NA,241737,241701,124055,15.364216099767
581939745,株式会社　フュートレック,27123_大阪府大阪市淀川区,L_サービス業,2012,3,53,3100302,2203328,2123092,757900,565192,35507,46422,896973,43182,3100302,356031,355878,NA,NA,NA,2744270,2755570,1194169,1967381,1505588,858167,1109214,647421,123395,104782,NA,21451,14142,461792,1003,470040,469892,278020,23.4724234909252
581609712,株式会社　エーアイテイー,27128_大阪府大阪市中央区,J_運輸・通信業,2012,2,174,3159573,2616388,2328509,1844905,482148,NA,291951,543184,37815,3159573,885056,763100,NA,NA,NA,2274516,2275112,1850310,12121538,11201843,9597679,2523859,1604164,98133,705431,NA,NA,15473,919694,80605,879545,872759,492975,7.58727151620529
581319024,株式会社　大和コンピューター,27207_大阪府高槻市,L_サービス業,2012,7,165,3203208,1424266,1326625,1049048,277577,33155,66013,1778942,1345731,3203208,1026714,532099,NA,NA,297125,2176493,2153706,1542009,1745666,1557842,1146843,598823,410999,76240,74565,NA,NA,12320,187823,8385,196380,199427,101033,10.7593892531561
581514833,株式会社　エスティック,27209_大阪府守口市,F_製造業,2012,3,61,3242394,2461217,1903821,904895,735916,507122,69699,781177,519718,3242394,455244,369337,NA,NA,NA,2787150,2785805,1806740,2477634,1985730,1550091,927543,435639,55643,98552,NA,NA,9737,491903,2215,503163,504542,285408,19.8537394950182
581176208,株式会社　翻訳センター,27128_大阪府大阪市中央区,L_サービス業,2012,3,216,3302485,2706186,2541293,1680446,836216,56267,108893,596299,45364,3302485,1064797,914990,NA,NA,NA,2237687,2238732,1171466,5113565,4707591,2916812,2196753,1790779,106500,705120,NA,85565,53856,405974,100,410380,409894,206764,7.93915790647034
580953089,株式会社　クイック,27127_大阪府大阪市北区,L_サービス業,2012,3,251,3484401,2052665,1841836,1305844,488350,NA,211426,1431735,286790,3484401,1428927,1312199,NA,172000,82686,2055474,2046613,1457272,4511366,4039726,1564345,2947020,2475381,73050,1118725,NA,58471,52282,471639,8053,587370,585324,372274,10.4544633387013
580629981,株式会社　ＯＳＧコーポレーション,27127_大阪府大阪市北区,G_卸・小売業，飲食店,2012,1,231,3533882,1397286,1201785,427325,576725,126027,75348,2136596,1152837,3533882,1719841,1143957,227187,190000,166707,1814040,1816373,720547,4390451,4091329,1652702,2737750,2438627,52200,888143,NA,122726,44333,299122,25561,297058,272437,156734,6.81301150769898
580511621,サンセイ　株式会社,27123_大阪府大阪市淀川区,F_製造業,2012,3,162,4648692,1710029,1554345,396768,941448,68907,126735,2938662,2232988,4648692,2611123,1436745,369461,28250,825000,2037568,2035628,1042305,3975997,3579822,2996828,979169,582994,70636,208942,NA,30639,5302,396175,52636,397652,397638,231383,9.96416747799357
570232668,株式会社　誠建設工業,27142_大阪府堺市中区,I_不動産業,2012,3,38,4782004,3694397,1524115,1229010,NA,2122320,56262,1087607,658606,4782004,2351551,1481384,94228,314000,512167,2430453,2470709,1574149,5156433,4766860,4382076,774357,384784,31992,75221,NA,NA,18143,389572,51525,367344,350113,193765,7.55506762135763
580251522,ミヤコ　株式会社,27127_大阪府大阪市北区,G_卸・小売業，飲食店,2012,3,99,4846803,3978769,3209512,1048324,800069,714351,56004,868033,453873,4846803,2280281,1961478,683452,200000,242816,2566521,2552614,3834160,6108766,5558996,4286737,1822028,1272259,87200,346494,NA,56758,14497,549769,35936,583424,583202,319817,8.99967505706964
570240365,株式会社　ハウスフリーダム,27217_大阪府松原市,I_不動産業,2012,12,102,4862638,2926076,1225049,1219034,6015,1563741,137284,1914760,239607,4862638,3364718,2131776,NA,924812,336215,1497920,1481258,979936,5306884,5090298,4020537,1286346,1069761,88401,381483,NA,25993,13882,216584,121394,357501,357390,247817,4.08119040875783
